municipio,homicidio,furtos_veiculo,furtos,roubos,latrocionio,roubo_veiculo,extorsao,extorsao_sequesto,estelionato,delitos_corrupcao,posse_entorpecente,delitos_municoes,trafico_entorpecente,ano
ACEGUA,0,0,70,4,0,0,0,0,2,0,0,0,1,2009
"AGUA SANTA",0,1,47,2,0,3,0,0,1,0,0,2,0,2009
AGUDO,0,9,154,5,0,0,0,0,9,0,6,2,1,2009
AJURICABA,0,4,70,2,0,0,2,0,13,0,1,3,0,2009
ALECRIM,1,1,88,2,0,0,0,0,4,0,1,7,1,2009
ALEGRETE,3,16,1285,164,0,6,3,0,59,0,47,49,39,2009
ALEGRIA,1,0,41,0,0,0,0,0,1,0,0,3,0,2009
"ALMIRANTE TAMANDARE DO SUL",0,1,12,0,0,1,0,0,1,0,0,1,0,2009
ALPESTRE,0,4,74,3,0,0,1,0,2,0,0,12,0,2009
"ALTO ALEGRE",0,0,2,0,0,0,0,0,0,0,0,0,0,2009
"ALTO FELIZ",0,0,8,1,0,0,0,0,0,0,0,1,0,2009
ALVORADA,67,145,2394,2266,1,298,6,0,146,2,105,120,111,2009
"AMARAL FERRADOR",0,5,58,8,0,0,0,0,4,0,0,4,0,2009
"AMETISTA DO SUL",1,3,68,4,0,0,0,0,3,0,0,3,0,2009
"ANDRE DA ROCHA",0,0,31,4,0,0,0,0,0,0,0,1,0,2009
"ANTA GORDA",0,0,37,5,0,0,0,0,2,0,0,4,0,2009
"ANTONIO PRADO",0,5,229,9,0,0,0,0,12,1,8,4,2,2009
ARAMBARE,0,1,68,0,0,0,0,0,2,0,1,2,3,2009
ARARICA,0,1,34,10,0,5,0,0,1,0,0,2,1,2009
ARATIBA,0,1,29,2,0,0,0,0,0,0,1,1,1,2009
"ARROIO DO MEIO",0,8,242,15,0,8,0,0,12,0,8,5,4,2009
"ARROIO DO PADRE",0,0,4,0,0,1,0,0,0,0,0,0,0,2009
"ARROIO DO SAL",0,26,637,17,0,3,0,0,28,0,15,4,4,2009
"ARROIO DO TIGRE",3,4,117,5,0,0,0,0,13,0,2,8,1,2009
"ARROIO DOS RATOS",2,11,279,33,0,0,0,0,5,0,3,14,3,2009
"ARROIO GRANDE",0,3,302,13,0,0,2,0,20,0,8,5,3,2009
