municipio,homicidio,furtos_veiculo,furtos,roubos,latrocionio,roubo_veiculo,extorsao,extorsao_sequesto,estelionato,delitos_corrupcao,posse_entorpecente,delitos_municoes,trafico_entorpecente,ano
ACEGUA,0,0,42,1,0,0,0,0,11,0,0,2,0,2006
"AGUA SANTA",0,4,33,0,0,0,0,0,0,0,0,1,1,2006
AGUDO,0,2,180,14,1,0,0,0,24,0,0,6,0,2006
AJURICABA,0,5,59,2,0,0,0,0,9,0,0,8,0,2006
ALECRIM,0,1,86,0,0,0,0,0,2,0,0,9,0,2006
ALEGRETE,10,30,1703,250,2,11,12,0,94,0,71,91,9,2006
ALEGRIA,0,1,58,3,0,0,0,0,1,0,0,4,0,2006
"ALMIRANTE TAMANDARE DO SUL",0,2,28,1,0,0,0,0,1,0,0,0,0,2006
ALPESTRE,4,1,51,1,0,0,0,0,2,0,1,19,0,2006
"ALTO ALEGRE",1,0,13,0,0,0,0,0,1,0,0,0,0,2006
"ALTO FELIZ",0,0,15,0,0,1,0,0,2,0,1,0,0,2006
ALVORADA,57,174,2960,2348,5,145,5,0,210,3,84,132,52,2006
"AMARAL FERRADOR",1,7,110,6,0,0,0,0,0,0,0,6,0,2006
"AMETISTA DO SUL",2,8,141,3,0,1,0,0,4,0,0,7,2,2006
"ANDRE DA ROCHA",1,1,24,1,0,0,0,0,0,0,0,4,1,2006
"ANTA GORDA",0,2,45,1,0,0,1,0,3,1,0,0,1,2006
"ANTONIO PRADO",0,8,138,7,0,6,1,0,12,0,1,2,2,2006
ARAMBARE,0,0,116,2,0,0,0,0,4,0,5,3,0,2006
ARARICA,0,0,46,3,0,1,0,0,3,0,1,1,0,2006
ARATIBA,0,3,44,0,0,0,0,0,3,0,0,0,0,2006
"ARROIO DO MEIO",1,13,296,18,0,2,0,0,17,0,8,11,0,2006
"ARROIO DO PADRE",0,4,8,0,0,0,0,0,0,0,0,0,0,2006
"ARROIO DO SAL",2,27,539,16,0,0,2,0,10,0,10,6,8,2006
"ARROIO DO TIGRE",2,0,125,4,0,0,0,0,43,0,0,5,0,2006
"ARROIO DOS RATOS",0,5,286,21,0,2,0,0,13,0,4,17,4,2006
"ARROIO GRANDE",0,0,279,16,0,1,0,0,27,0,3,10,5,2006
ARVOREZINHA,1,2,70,8,0,0,0,0,7,1,1,13,0,2006
"AUGUSTO PESTANA",0,4,52,8,1,0,0,0,7,0,0,4,0,2006
AUREA,0,3,30,2,0,0,0,0,1,0,0,2,0,2006
BAGE,14,68,2237,168,0,8,3,0,258,4,85,94,24,2006
"BALNEARIO PINHAL",1,27,832,78,0,3,0,0,16,1,9,8,4,2006
BARAO,0,1,42,2,0,0,0,0,8,1,2,2,1,2006
"BARAO DE COTEGIPE",0,7,85,7,0,0,0,0,2,0,0,7,0,2006
"BARAO DO TRIUNFO",3,2,72,9,0,0,0,0,4,0,0,8,1,2006
"BARRA DO GUARITA",0,0,21,0,0,0,0,0,2,0,0,2,0,2006
"BARRA DO QUARAI",2,0,95,3,0,0,0,0,3,0,3,4,1,2006
"BARRA DO RIBEIRO",0,4,368,49,2,4,0,0,10,1,0,13,4,2006
"BARRA DO RIO AZUL",0,1,9,0,0,0,0,0,1,0,0,0,0,2006
"BARRA FUNDA",0,1,22,1,0,0,0,0,1,0,0,2,0,2006
BARRACAO,0,4,71,5,0,0,0,0,3,0,0,6,1,2006
"BARROS CASSAL",1,4,138,15,0,3,0,0,6,0,0,10,0,2006
"BENJAMIN CONSTANT DO SUL",0,1,7,0,0,0,0,0,0,0,0,0,0,2006
"BENTO GONCALVES",7,189,1368,300,1,76,15,0,187,2,51,53,19,2006
"BOA VISTA DAS MISSOES",0,0,11,4,0,0,0,0,1,0,1,6,0,2006
"BOA VISTA DO BURICA",0,5,32,1,0,0,0,0,3,0,1,2,0,2006
"BOA VISTA DO CADEADO",0,0,34,1,0,0,0,0,2,0,0,0,0,2006
"BOA VISTA DO INCRA",0,0,41,2,0,0,0,0,0,0,1,0,0,2006
"BOA VISTA DO SUL",0,0,15,1,0,0,0,0,3,0,0,0,0,2006
"BOM JESUS",2,8,173,12,0,0,0,0,8,1,5,6,6,2006
"BOM PRINCIPIO",0,16,96,17,0,6,0,0,5,0,5,2,1,2006
"BOM PROGRESSO",0,2,19,4,0,0,0,0,3,0,0,4,0,2006
"BOM RETIRO DO SUL",0,4,139,9,0,0,1,0,6,0,3,7,2,2006
"BOQUEIRAO DO LEAO",0,5,79,5,0,1,1,0,3,0,0,5,0,2006
BOSSOROCA,4,0,102,5,0,0,0,0,6,0,1,3,0,2006
BOZANO,0,0,13,1,0,0,0,0,0,0,0,0,0,2006
BRAGA,0,3,52,4,0,0,0,0,1,0,1,4,0,2006
BROCHIER,0,4,56,3,0,0,0,0,5,0,0,0,0,2006
BUTIA,3,0,499,24,0,0,7,0,24,0,10,6,2,2006
"CACAPAVA DO SUL",2,20,546,52,0,7,4,0,17,0,8,1,2,2006
CACEQUI,1,2,419,9,0,0,2,0,29,0,4,17,3,2006
"CACHOEIRA DO SUL",3,49,1950,130,1,6,5,0,152,3,21,35,14,2006
CACHOEIRINHA,12,259,2152,1099,3,389,4,1,230,1,37,77,15,2006
"CACIQUE DOBLE",1,1,17,1,0,0,1,1,2,1,0,1,0,2006
CAIBATE,0,1,32,2,0,2,0,0,3,0,1,2,0,2006
CAICARA,1,0,51,3,0,0,0,0,0,0,0,2,0,2006
CAMAQUA,6,140,1645,222,1,5,2,0,142,6,28,60,27,2006
CAMARGO,0,0,43,2,0,0,0,0,0,0,0,1,0,2006
"CAMBARA DO SUL",0,2,74,1,0,0,0,0,2,0,2,4,2,2006
"CAMPESTRE DA SERRA",0,2,18,0,0,0,0,0,1,0,0,2,0,2006
"CAMPINA DAS MISSOES",0,1,39,2,0,0,0,0,1,0,0,2,0,2006
"CAMPINAS DO SUL",0,2,19,1,0,0,0,0,2,0,0,2,2,2006
"CAMPO BOM",2,103,1813,447,1,102,9,0,86,1,50,24,5,2006
"CAMPO NOVO",1,2,104,3,0,1,0,0,9,0,4,3,0,2006
"CAMPOS BORGES",0,0,35,0,0,0,0,0,0,0,0,2,0,2006
CANDELARIA,5,24,587,55,0,4,0,0,39,0,11,43,7,2006
"CANDIDO GODOI",0,0,25,0,0,0,0,0,3,0,1,1,0,2006
CANDIOTA,3,1,155,1,0,0,1,0,17,0,0,2,0,2006
CANELA,5,37,766,62,2,4,5,0,81,0,82,29,16,2006
CANGUCU,2,21,434,26,1,5,0,0,13,0,7,26,1,2006
CANOAS,59,868,6924,3874,7,1221,19,1,395,3,148,216,85,2006
"CANUDOS DO VALE",0,1,17,1,0,1,0,0,1,0,0,0,0,2006
"CAPAO BONITO DO SUL",0,0,38,1,0,0,0,0,1,0,0,1,0,2006
"CAPAO DA CANOA",8,92,2185,209,0,10,6,0,120,3,47,35,40,2006
"CAPAO DO CIPO",0,0,38,2,0,0,0,0,3,0,1,3,0,2006
"CAPAO DO LEAO",2,8,392,61,0,3,0,0,20,0,2,13,1,2006
"CAPELA DE SANTANA",3,7,181,12,0,5,0,0,5,2,6,1,1,2006
CAPITAO,0,0,26,1,0,0,0,0,1,0,1,0,0,2006
"CAPIVARI DO SUL",0,2,62,10,0,0,0,0,3,1,6,3,0,2006
CARAA,0,1,39,6,1,2,0,0,2,0,0,0,0,2006
CARAZINHO,6,75,1905,174,1,24,7,0,115,1,29,39,9,2006
"CARLOS BARBOSA",0,27,283,36,0,12,2,0,29,0,1,2,3,2006
"CARLOS GOMES",0,0,12,0,0,0,0,0,0,0,0,2,0,2006
CASCA,1,27,104,8,0,1,0,0,4,0,0,8,0,2006
CASEIROS,0,0,32,2,0,0,0,0,2,0,1,0,0,2006
