municipio,homicidio,furtos_veiculo,furtos,roubos,latrocionio,roubo_veiculo,extorsao,extorsao_sequesto,estelionato,delitos_corrupcao,posse_entorpecente,delitos_municoes,trafico_entorpecente,ano
ACEGUA,0,1,64,3,0,0,0,0,1,0,1,4,0,2005
"AGUA SANTA",0,2,36,1,0,0,0,0,2,0,0,2,0,2005
AGUDO,3,5,236,13,0,0,1,0,28,0,1,14,0,2005
AJURICABA,0,7,69,2,0,0,0,0,6,0,0,2,0,2005
ALECRIM,0,1,84,6,0,0,0,0,5,1,0,15,0,2005
ALEGRETE,15,19,1719,282,0,5,3,0,117,1,67,86,6,2005
ALEGRIA,1,0,60,2,0,0,0,0,0,0,0,8,0,2005
"ALMIRANTE TAMANDARE DO SUL",0,0,28,0,0,0,0,0,0,0,0,0,0,2005
ALPESTRE,2,0,81,7,0,1,0,0,5,0,0,17,0,2005
"ALTO ALEGRE",0,0,23,0,0,0,1,0,0,0,0,2,0,2005
"ALTO FELIZ",0,1,11,2,0,1,0,0,2,0,0,0,0,2005
ALVORADA,54,153,3188,2444,3,165,4,0,192,3,119,157,84,2005
"AMARAL FERRADOR",0,7,73,3,0,0,0,0,1,0,0,8,0,2005
"AMETISTA DO SUL",1,5,81,3,0,0,0,0,3,0,0,7,0,2005
"ANDRE DA ROCHA",0,0,15,0,0,0,0,0,0,0,1,0,0,2005
"ANTA GORDA",0,2,61,3,1,0,0,0,6,0,0,0,1,2005
"ANTONIO PRADO",0,2,155,7,0,2,0,0,7,0,2,4,4,2005
ARAMBARE,0,1,71,6,0,0,0,0,3,0,1,1,0,2005
ARARICA,0,2,43,6,0,9,0,0,5,0,0,2,0,2005
ARATIBA,0,2,26,0,0,0,1,0,2,0,0,3,1,2005
"ARROIO DO MEIO",1,8,239,31,0,2,0,0,18,1,5,4,2,2005
"ARROIO DO PADRE",0,0,8,1,0,0,0,0,0,0,0,0,0,2005
"ARROIO DO SAL",0,13,528,23,0,3,0,0,16,0,12,7,4,2005
"ARROIO DO TIGRE",2,1,207,7,0,1,0,0,14,0,1,14,0,2005
"ARROIO DOS RATOS",2,8,305,16,0,1,1,0,12,1,3,19,5,2005
"ARROIO GRANDE",0,2,253,12,0,1,0,0,19,0,4,12,1,2005
ARVOREZINHA,4,6,113,22,0,0,0,0,1,0,2,14,0,2005
"AUGUSTO PESTANA",0,1,92,2,0,0,0,0,4,0,0,4,0,2005
AUREA,0,0,13,0,0,0,0,0,2,0,0,0,0,2005
BAGE,12,41,2403,165,1,2,5,0,178,0,63,59,15,2005
"BALNEARIO PINHAL",1,17,690,71,0,1,1,0,18,0,12,12,3,2005
BARAO,0,0,49,2,0,0,0,0,9,0,3,6,1,2005
"BARAO DE COTEGIPE",0,4,102,2,0,1,0,0,3,0,0,4,0,2005
"BARAO DO TRIUNFO",2,5,101,4,0,2,0,0,1,0,0,11,0,2005
"BARRA DO GUARITA",2,0,16,1,0,0,0,0,0,0,0,7,0,2005
"BARRA DO QUARAI",2,0,107,6,0,0,0,0,6,0,2,7,0,2005
"BARRA DO RIBEIRO",2,7,337,25,0,1,0,0,9,1,1,9,1,2005
"BARRA DO RIO AZUL",0,2,10,0,0,0,0,0,0,0,0,0,0,2005
"BARRA FUNDA",0,1,23,1,0,0,0,0,1,0,1,1,0,2005
BARRACAO,0,1,61,2,0,0,0,0,2,0,0,4,0,2005
"BARROS CASSAL",5,3,131,8,0,2,0,0,8,0,0,6,2,2005
"BENJAMIN CONSTANT DO SUL",0,0,13,0,0,0,0,0,0,0,0,0,0,2005
"BENTO GONCALVES",7,420,1624,397,2,79,7,0,178,0,53,71,20,2005
"BOA VISTA DAS MISSOES",0,0,25,2,0,0,0,0,2,0,0,4,0,2005
"BOA VISTA DO BURICA",1,2,48,1,0,0,0,0,9,1,0,4,0,2005
"BOA VISTA DO CADEADO",0,0,25,2,0,0,0,0,1,0,0,2,0,2005
"BOA VISTA DO INCRA",0,1,34,0,0,0,0,0,2,0,0,0,0,2005
"BOA VISTA DO SUL",0,0,17,1,0,2,0,0,0,0,0,0,0,2005
"BOM JESUS",4,7,184,9,0,0,0,0,9,1,8,14,1,2005
"BOM PRINCIPIO",0,31,84,23,1,4,0,0,10,2,3,1,0,2005
"BOM PROGRESSO",0,0,20,0,0,0,0,0,0,1,0,2,0,2005
"BOM RETIRO DO SUL",1,4,133,22,0,2,0,0,4,0,0,2,1,2005
"BOQUEIRAO DO LEAO",0,8,90,5,0,0,0,0,4,0,0,10,0,2005
BOSSOROCA,0,1,94,6,0,0,0,0,7,0,0,10,0,2005
BOZANO,0,1,19,1,0,0,0,0,0,0,0,0,0,2005
BRAGA,2,3,48,1,0,0,0,0,0,0,0,3,0,2005
BROCHIER,0,4,33,2,0,1,0,0,4,0,0,0,0,2005
BUTIA,1,3,362,14,0,0,1,0,16,0,11,8,7,2005
"CACAPAVA DO SUL",0,5,518,24,1,2,0,0,26,1,7,0,3,2005
CACEQUI,2,2,436,15,0,3,0,0,23,0,5,20,1,2005
"CACHOEIRA DO SUL",4,80,2083,129,0,1,5,0,146,0,21,40,6,2005
