municipio,homicidio,furtos_veiculo,furtos,roubos,latrocionio,roubo_veiculo,extorsao,extorsao_sequesto,estelionato,delitos_corrupcao,posse_entorpecente,delitos_municoes,trafico_entorpecente,ano
ACEGUA,0,1,57,0,0,0,0,0,0,0,0,6,0,2010
"AGUA SANTA",0,1,28,1,0,1,0,0,2,0,0,6,0,2010
AGUDO,0,7,189,4,0,0,2,0,14,0,0,2,1,2010
AJURICABA,1,2,51,0,0,0,2,0,4,0,2,5,1,2010
ALECRIM,0,0,59,1,0,0,0,0,3,0,0,9,2,2010
ALEGRETE,4,21,1130,142,0,1,1,0,67,0,37,45,44,2010
ALEGRIA,2,1,59,2,0,0,0,0,3,0,0,1,0,2010
"ALMIRANTE TAMANDARE DO SUL",0,1,16,2,0,0,0,0,1,0,0,1,0,2010
ALPESTRE,5,0,76,1,0,0,0,0,2,0,0,4,0,2010
"ALTO ALEGRE",0,0,11,0,0,0,0,0,1,0,0,0,0,2010
"ALTO FELIZ",0,0,11,0,0,0,0,0,1,0,1,0,0,2010
ALVORADA,89,184,2419,2291,2,225,2,0,180,8,247,151,154,2010
"AMARAL FERRADOR",1,5,58,3,0,0,0,0,0,0,0,2,0,2010
"AMETISTA DO SUL",2,5,61,4,0,0,0,0,3,0,0,3,0,2010
"ANDRE DA ROCHA",0,0,20,0,0,0,1,0,0,0,0,1,0,2010
"ANTA GORDA",0,0,28,1,0,0,0,0,1,0,0,6,1,2010
"ANTONIO PRADO",0,2,246,13,0,0,0,0,16,0,17,2,5,2010
ARAMBARE,0,2,74,1,0,2,0,0,2,0,4,4,0,2010
ARARICA,0,2,29,5,0,1,0,0,6,0,3,2,1,2010
ARATIBA,0,2,22,1,0,0,0,0,1,0,0,3,0,2010
"ARROIO DO MEIO",1,13,238,14,0,6,0,0,12,3,18,7,2,2010
"ARROIO DO PADRE",0,1,5,0,0,0,0,0,1,0,0,0,0,2010
"ARROIO DO SAL",0,11,355,13,0,1,0,0,27,0,19,8,8,2010
"ARROIO DO TIGRE",0,6,126,2,0,0,0,0,8,0,1,5,1,2010
"ARROIO DOS RATOS",0,4,169,23,1,3,0,0,4,0,4,8,10,2010
"ARROIO GRANDE",1,4,234,12,0,2,0,0,14,1,7,5,8,2010
ARVOREZINHA,2,6,83,5,0,1,0,0,7,1,3,8,0,2010
"AUGUSTO PESTANA",0,4,56,1,0,0,1,0,8,0,1,2,0,2010
AUREA,0,0,27,0,0,0,0,0,0,0,0,4,0,2010
BAGE,7,76,2283,306,1,6,3,0,125,4,113,40,55,2010
"BALNEARIO PINHAL",2,7,481,32,0,3,0,0,12,0,17,10,6,2010
BARAO,0,0,36,3,0,0,0,0,4,2,0,0,1,2010
"BARAO DE COTEGIPE",0,5,77,8,0,0,0,0,1,0,1,9,0,2010
"BARAO DO TRIUNFO",0,3,77,3,0,0,0,0,2,0,0,5,0,2010
"BARRA DO GUARITA",0,3,82,4,0,1,0,0,1,0,0,12,1,2010
"BARRA DO QUARAI",0,0,51,2,0,0,0,0,1,0,3,5,1,2010
"BARRA DO RIBEIRO",1,4,141,9,1,4,0,0,10,0,3,11,2,2010
"BARRA DO RIO AZUL",0,0,12,0,0,0,0,0,0,0,0,1,0,2010
"BARRA FUNDA",0,2,15,1,0,0,0,0,1,0,0,1,0,2010
BARRACAO,0,1,36,1,0,0,0,0,10,0,3,3,1,2010
"BARROS CASSAL",2,3,97,7,0,0,0,0,6,0,1,9,1,2010
"BENJAMIN CONSTANT DO SUL",0,1,8,0,0,0,0,0,1,0,0,1,0,2010
"BENTO GONCALVES",9,179,1708,372,0,65,11,0,140,3,95,69,30,2010
"BOA VISTA DAS MISSOES",0,0,14,3,0,0,0,0,0,0,0,0,0,2010
"BOA VISTA DO BURICA",0,4,63,4,0,1,0,0,11,0,0,1,0,2010
"BOA VISTA DO CADEADO",0,0,34,0,0,0,0,0,2,0,0,0,0,2010
"BOA VISTA DO INCRA",0,1,27,1,0,0,0,0,1,0,0,2,0,2010
"BOA VISTA DO SUL",0,1,32,3,0,1,0,0,1,0,0,0,0,2010
"BOM JESUS",0,1,203,13,0,2,0,0,8,0,7,26,12,2010
"BOM PRINCIPIO",0,20,125,24,0,3,0,0,5,0,10,2,2,2010
"BOM PROGRESSO",0,1,11,1,0,0,0,0,1,0,0,3,0,2010
"BOM RETIRO DO SUL",0,5,122,4,0,1,0,0,10,0,1,2,1,2010
"BOQUEIRAO DO LEAO",0,6,60,2,0,0,1,0,2,0,0,6,0,2010
BOSSOROCA,0,1,71,1,0,0,2,0,3,0,3,4,0,2010
BOZANO,0,2,17,1,0,0,0,0,0,0,0,1,0,2010
BRAGA,1,3,53,0,0,0,0,0,2,0,2,3,0,2010
BROCHIER,0,3,22,0,0,0,0,0,1,0,0,0,0,2010
BUTIA,0,9,381,36,0,3,0,0,17,0,13,8,8,2010
"CACAPAVA DO SUL",3,10,398,30,0,1,0,0,39,2,8,15,7,2010
CACEQUI,1,5,340,8,0,0,1,0,14,1,6,20,5,2010
"CACHOEIRA DO SUL",8,45,1449,126,0,4,7,0,80,1,73,40,25,2010
CACHOEIRINHA,18,301,1746,742,0,274,2,0,245,2,301,50,90,2010
"CACIQUE DOBLE",0,0,34,2,0,0,0,0,2,0,0,1,0,2010
CAIBATE,0,0,33,1,0,0,0,0,3,0,1,0,0,2010
CAICARA,2,2,39,1,0,1,0,0,2,0,1,5,0,2010
CAMAQUA,5,89,1537,178,0,7,7,0,101,6,21,27,34,2010
CAMARGO,0,0,18,2,0,1,0,0,1,0,0,3,0,2010
"CAMBARA DO SUL",0,1,71,9,0,0,0,0,3,0,1,4,3,2010
"CAMPESTRE DA SERRA",0,0,43,2,0,0,0,0,0,0,0,1,0,2010
"CAMPINA DAS MISSOES",0,1,28,0,0,0,0,0,0,0,0,1,1,2010
"CAMPINAS DO SUL",0,0,27,5,0,0,0,0,1,0,0,4,1,2010
"CAMPO BOM",6,118,913,285,0,105,5,0,48,1,74,19,17,2010
"CAMPO NOVO",1,6,65,4,0,0,0,0,6,0,1,7,0,2010
"CAMPOS BORGES",1,3,26,0,0,0,0,0,1,0,0,2,0,2010
CANDELARIA,10,32,372,39,0,3,0,0,23,0,17,19,9,2010
"CANDIDO GODOI",0,0,21,0,0,0,0,0,2,0,0,2,0,2010
CANDIOTA,0,6,276,6,0,0,0,0,3,0,3,5,1,2010
CANELA,4,20,688,45,1,3,2,1,56,2,61,24,25,2010
CANGUCU,3,26,392,27,0,4,2,0,19,0,7,23,10,2010
CANOAS,79,606,5625,2595,2,792,13,0,581,8,1035,166,334,2010
"CANUDOS DO VALE",0,0,9,0,0,0,1,0,0,0,0,1,0,2010
"CAPAO BONITO DO SUL",0,0,34,1,0,0,0,0,0,0,0,1,0,2010
"CAPAO DA CANOA",17,75,1611,207,0,21,5,0,130,2,82,18,39,2010
"CAPAO DO CIPO",0,1,53,4,0,0,0,0,1,0,0,10,0,2010
"CAPAO DO LEAO",1,3,237,33,0,3,0,0,11,0,6,15,9,2010
"CAPELA DE SANTANA",0,6,105,21,0,7,2,0,4,0,9,3,2,2010
CAPITAO,0,1,14,0,0,0,0,0,0,0,0,0,0,2010
"CAPIVARI DO SUL",0,1,42,6,0,0,0,0,4,0,1,2,2,2010
CARAA,1,0,31,6,0,0,0,0,2,0,1,2,0,2010
CARAZINHO,12,48,1345,179,0,32,2,0,135,1,32,48,28,2010
"CARLOS BARBOSA",0,31,290,23,0,13,1,0,12,0,4,3,1,2010
"CARLOS GOMES",0,0,11,0,0,0,0,0,0,0,0,2,0,2010
CASCA,0,6,69,12,0,5,2,0,11,0,6,11,3,2010
CASEIROS,1,3,21,3,0,1,0,0,1,0,0,3,1,2010
CATUIPE,1,3,123,5,0,0,1,0,8,0,2,9,1,2010
"CAXIAS DO SUL",96,1728,6629,2368,6,531,22,1,601,3,146,255,181,2010
