municipio,homicidio,furtos_veiculo,furtos,roubos,latrocionio,roubo_veiculo,extorsao,extorsao_sequesto,estelionato,delitos_corrupcao,posse_entorpecente,delitos_municoes,trafico_entorpecente
ACEGUA,0,0,72,2,1,0,0,0,4,0,0,3,0
"AGUA SANTA",0,0,31,4,0,4,0,0,3,0,1,5,0
AGUDO,0,6,187,6,0,0,0,0,13,0,3,1,2
AJURICABA,0,1,57,3,0,0,0,0,6,0,1,2,0
ALECRIM,0,0,72,1,0,0,1,0,7,0,2,10,2
ALEGRETE,6,25,1371,204,0,5,5,0,68,1,65,68,25
ALEGRIA,0,0,34,0,0,0,0,0,0,0,0,3,0
"ALMIRANTE TAMANDARE DO SUL",0,0,22,0,0,1,0,0,1,0,1,0,0
ALPESTRE,4,0,82,2,0,0,0,0,9,0,0,12,1
"ALTO ALEGRE",0,0,14,0,0,0,0,0,0,0,0,4,0
"ALTO FELIZ",0,0,5,1,0,0,0,0,2,0,0,1,0
ALVORADA,70,159,3037,2394,2,263,7,1,221,4,83,119,94
"AMARAL FERRADOR",0,1,50,2,0,1,0,0,3,0,0,4,0
"AMETISTA DO SUL",2,4,113,2,0,0,0,0,2,0,0,2,0
"ANDRE DA ROCHA",1,0,21,1,0,0,0,0,1,0,0,2,0
"ANTA GORDA",0,0,41,1,0,0,0,0,6,0,2,4,1
"ANTONIO PRADO",0,4,171,5,0,2,1,0,9,0,5,3,4
ARAMBARE,0,1,96,1,0,0,0,0,1,0,5,1,1
ARARICA,1,6,49,3,0,2,0,0,7,0,4,1,0
ARATIBA,3,3,36,2,0,0,1,0,3,0,0,0,0
"ARROIO DO MEIO",1,6,265,13,0,6,0,0,22,0,13,1,6
"ARROIO DO PADRE",0,1,5,0,0,0,0,0,0,0,0,1,0
"ARROIO DO SAL",1,21,580,25,0,2,1,0,21,2,21,5,6
"ARROIO DO TIGRE",0,6,168,4,0,0,0,0,15,2,0,13,0
"ARROIO DOS RATOS",2,4,314,43,0,1,0,0,6,1,2,15,4
"ARROIO GRANDE",0,5,255,6,0,1,0,0,14,0,1,8,3
ARVOREZINHA,0,4,129,13,0,1,0,0,7,1,1,6,0
"AUGUSTO PESTANA",0,2,65,2,0,0,1,0,3,0,3,3,1
AUREA,0,1,13,0,0,0,0,0,1,0,0,1,0
BAGE,10,76,2640,261,0,6,4,0,156,1,70,49,39
"BALNEARIO PINHAL",5,7,633,83,0,6,0,0,15,0,14,6,8
BARAO,0,2,37,4,0,0,1,0,4,1,0,2,0
"BARAO DE COTEGIPE",0,0,72,6,0,0,0,0,2,0,0,2,0
"BARAO DO TRIUNFO",1,2,73,4,0,1,0,0,2,0,1,13,2
"BARRA DO GUARITA",1,2,8,0,0,0,0,0,1,0,0,11,0
"BARRA DO QUARAI",0,0,60,2,0,0,0,0,3,0,3,5,6
"BARRA DO RIBEIRO",3,4,177,25,0,8,0,0,6,2,3,11,2
"BARRA DO RIO AZUL",0,0,11,0,0,0,0,0,1,0,0,2,0
"BARRA FUNDA",0,1,16,0,0,0,0,0,0,0,0,3,1
BARRACAO,0,0,61,1,0,0,0,0,4,0,1,8,1
"BARROS CASSAL",3,1,81,12,0,0,0,0,7,0,1,6,1
"BENJAMIN CONSTANT DO SUL",0,0,9,0,0,0,0,0,0,0,0,0,0
"BENTO GONCALVES",10,112,1850,363,0,92,6,0,142,3,61,52,22
"BOA VISTA DAS MISSOES",0,1,6,1,1,0,0,0,0,0,0,0,0
"BOA VISTA DO BURICA",0,1,44,3,0,0,0,0,3,0,1,3,0
"BOA VISTA DO CADEADO",0,0,27,0,0,0,0,0,2,0,0,0,0
"BOA VISTA DO INCRA",0,1,43,0,0,0,0,0,5,0,0,1,0
"BOA VISTA DO SUL",0,0,30,1,0,0,0,0,0,0,0,1,0
"BOM JESUS",5,3,202,19,0,0,0,0,4,0,9,9,3
"BOM PRINCIPIO",0,7,85,14,0,6,0,0,4,1,9,0,1
"BOM PROGRESSO",0,1,16,0,0,0,0,0,0,0,0,5,0
"BOM RETIRO DO SUL",1,4,130,12,0,2,0,0,2,0,0,1,2
"BOQUEIRAO DO LEAO",0,4,49,3,0,1,0,0,1,0,0,5,0
BOSSOROCA,0,2,126,5,0,0,0,0,8,0,2,3,0
BOZANO,0,0,30,1,0,0,0,0,1,0,0,0,0
BRAGA,1,3,62,1,0,0,0,0,3,0,0,6,0
BROCHIER,0,1,33,2,0,0,0,0,0,0,0,0,0
BUTIA,3,5,377,26,0,1,1,1,11,0,4,7,7
"CACAPAVA DO SUL",4,8,702,38,0,5,0,0,13,0,16,14,4
CACEQUI,1,0,225,9,0,0,1,0,10,0,5,16,3
"CACHOEIRA DO SUL",4,29,1658,119,0,2,12,0,143,2,29,42,12
CACHOEIRINHA,22,417,1964,993,1,458,11,0,277,2,184,49,73
"CACIQUE DOBLE",1,1,17,2,0,0,1,0,1,0,1,5,0
CAIBATE,1,1,39,0,0,0,0,0,2,0,0,5,0
CAICARA,0,7,60,1,0,0,0,0,0,0,1,1,0
CAMAQUA,5,127,1616,195,0,8,14,0,112,4,32,34,37
CAMARGO,0,0,16,0,0,3,0,0,1,0,1,4,0
"CAMBARA DO SUL",2,2,87,8,0,1,0,0,4,0,2,5,2
"CAMPESTRE DA SERRA",0,0,48,1,0,0,0,0,5,0,0,1,1
"CAMPINA DAS MISSOES",3,1,16,0,0,0,0,0,0,0,0,1,0
"CAMPINAS DO SUL",0,0,22,3,0,0,0,0,1,0,1,0,1
"CAMPO BOM",7,86,1238,370,1,86,3,1,63,0,49,13,9
"CAMPO NOVO",0,4,65,6,0,1,0,0,8,0,2,4,6
"CAMPOS BORGES",0,2,20,0,0,0,0,0,0,0,0,0,0
CANDELARIA,3,12,574,38,0,5,1,0,20,1,12,43,10
"CANDIDO GODOI",0,0,19,3,0,0,0,0,1,0,2,3,0
CANDIOTA,2,2,197,12,0,1,0,0,9,0,0,4,1
CANELA,6,27,709,48,0,3,5,0,82,0,39,18,22
CANGUCU,3,24,462,63,0,3,0,0,37,0,5,24,6
CANOAS,81,794,6869,3552,1,1109,11,1,574,3,152,220,163
"CANUDOS DO VALE",0,1,4,0,0,0,0,0,0,0,0,1,0
"CAPAO BONITO DO SUL",0,0,40,2,0,0,0,0,0,0,0,4,0
"CAPAO DA CANOA",9,58,2011,252,0,23,1,0,96,3,57,24,65
"CAPAO DO CIPO",0,2,51,2,0,0,0,0,0,0,0,7,0
"CAPAO DO LEAO",3,2,471,139,0,8,2,0,19,0,3,5,1
"CAPELA DE SANTANA",1,3,148,13,0,5,0,0,7,0,17,4,2
CAPITAO,0,1,19,0,0,0,0,0,0,0,0,0,0
"CAPIVARI DO SUL",2,1,48,3,0,0,0,0,4,0,0,1,1
CARAA,0,0,35,1,0,0,0,0,0,0,0,0,0
CARAZINHO,5,36,1803,126,0,19,1,1,132,0,22,32,13
"CARLOS BARBOSA",0,13,268,24,0,24,1,0,23,0,2,3,1
"CARLOS GOMES",0,0,12,1,0,0,0,0,0,0,0,2,0
CASCA,0,15,64,10,0,6,0,0,7,0,0,8,0
CASEIROS,0,0,33,2,0,1,0,0,3,0,0,1,0
CATUIPE,0,0,127,2,0,0,0,0,15,0,2,3,0
"CAXIAS DO SUL",75,1336,7344,2682,5,463,22,0,661,0,129,285,118
CENTENARIO,0,2,11,0,0,0,0,0,0,0,0,2,0
CERRITO,0,0,74,2,0,0,0,0,0,0,0,1,0
"CERRO BRANCO",0,0,27,3,0,0,0,0,1,0,1,1,0
"CERRO GRANDE",1,0,6,0,0,0,0,0,1,0,0,4,0
"CERRO GRANDE DO SUL",1,11,106,12,0,1,1,0,7,0,1,10,1
"CERRO LARGO",1,6,180,7,0,0,2,0,19,0,4,6,2
CHAPADA,1,1,51,7,0,1,1,0,6,0,2,7,1
CHARQUEADAS,2,12,478,40,0,1,0,0,23,1,76,21,51
CHARRUA,0,0,12,3,0,0,0,0,0,0,0,0,0
CHIAPETTA,0,2,44,3,0,1,0,0,1,0,0,1,0
CHUI,1,7,153,5,0,0,0,0,9,0,16,0,0
CHUVISCA,0,2,51,4,0,0,0,0,1,0,0,4,1
CIDREIRA,2,18,1160,116,0,9,0,0,30,1,18,8,17
CIRIACO,1,3,105,6,0,0,0,0,5,0,0,3,0
COLINAS,1,0,24,0,0,1,0,0,1,0,0,1,0
COLORADO,0,2,17,0,0,0,0,0,0,0,1,1,0
CONDOR,0,2,58,2,0,0,0,0,7,0,0,4,1
CONSTANTINA,1,5,105,5,0,2,0,0,3,0,1,5,0
"COQUEIRO BAIXO",0,0,11,0,0,0,0,0,0,0,0,0,0
"COQUEIROS DO SUL",0,2,25,4,0,2,0,0,2,0,0,9,0
"CORONEL BARROS",0,1,26,0,0,0,0,0,0,0,0,2,0
"CORONEL BICACO",0,5,190,3,0,0,3,0,3,0,0,16,7
"CORONEL PILAR",0,0,21,0,0,1,0,0,0,0,0,1,0
COTIPORA,0,2,40,6,0,2,0,0,1,0,0,0,0
COXILHA,0,1,22,4,0,0,0,0,2,1,1,1,0
CRISSIUMAL,1,4,118,5,0,0,2,0,5,0,8,12,3
CRISTAL,0,0,49,6,0,1,0,0,6,0,0,4,0
"CRISTAL DO SUL",0,0,25,0,0,0,0,0,1,0,0,4,0
"CRUZ ALTA",11,120,1695,173,1,13,3,0,129,3,53,78,29
CRUZALTENSE,0,1,8,0,0,0,0,0,1,0,0,0,0
"CRUZEIRO DO SUL",0,3,149,15,0,4,0,0,23,0,2,4,1
"DAVID CANABARRO",0,2,26,0,0,0,1,0,2,0,0,0,0
DERRUBADAS,0,0,25,1,0,0,0,0,1,0,0,13,0
"DEZESSEIS DE NOVEMBRO",0,0,42,1,0,0,0,0,0,1,0,6,0
"DILERMANDO DE AGUIAR",1,0,65,4,0,0,0,0,0,0,0,2,0
"DOIS IRMAOS",1,22,238,31,0,16,4,0,37,0,6,5,5
"DOIS IRMAOS DAS MISSOES",0,0,20,1,0,0,0,0,1,0,0,1,0
"DOIS LAJEADOS",0,1,20,1,0,1,0,0,1,0,0,1,0
"DOM FELICIANO",2,6,155,17,0,5,1,0,5,0,1,14,2
"DOM PEDRITO",4,17,642,65,0,2,1,0,44,0,13,28,6
"DOM PEDRO DE ALCANTARA",0,1,24,8,0,0,0,0,1,0,0,0,1
"DONA FRANCISCA",0,0,91,2,0,0,0,0,4,0,0,4,1
"DOUTOR RICARDO",0,1,35,0,0,0,0,0,0,0,1,2,0
"DR MAURICIO CARDOSO",0,2,64,2,0,0,0,0,0,0,2,1,0
"ELDORADO DO SUL",7,13,659,155,0,18,2,0,25,0,16,27,6
ENCANTADO,0,8,509,24,0,0,3,0,10,0,16,17,11
"ENCRUZILHADA DO SUL",3,11,524,63,0,4,1,0,12,2,2,21,5
"ENGENHO VELHO",0,0,6,0,0,0,0,0,0,0,0,4,0
"ENTRE IJUIS",1,0,98,4,0,0,0,0,8,0,2,10,1
"ENTRE RIOS DO SUL",0,0,19,0,0,0,0,0,2,0,0,2,0
EREBANGO,1,1,26,1,0,0,0,0,3,0,0,1,0
ERECHIM,13,125,1709,291,0,13,8,0,137,3,51,76,27
ERNESTINA,1,2,33,5,0,3,0,0,1,0,0,5,0
"ERVAL GRANDE",1,2,31,1,0,0,0,0,4,0,0,2,0
"ERVAL SECO",2,0,41,3,0,0,2,0,2,1,0,2,0
ESMERALDA,0,1,40,0,0,0,0,0,1,0,1,5,0
"ESPERANCA DO SUL",0,1,19,0,0,0,0,0,1,0,0,1,0
ESPUMOSO,0,9,181,6,0,1,0,0,17,0,9,7,4
ESTACAO,0,2,57,2,0,0,0,0,1,0,1,5,0
"ESTANCIA VELHA",1,86,642,201,1,127,0,0,44,0,11,9,6
ESTEIO,24,110,2170,1089,0,175,4,0,126,3,21,37,13
ESTRELA,2,26,777,78,0,9,3,0,36,2,39,6,10
