municipio,homicidio,furtos_veiculo,furtos,roubos,latrocionio,roubo_veiculo,extorsao,extorsao_sequesto,estelionato,delitos_corrupcao,posse_entorpecente,delitos_municoes,trafico_entorpecente
ACEGUA,0,0,72,3,0,0,0,0,1,0,1,5,0
"AGUA SANTA",0,1,21,1,0,0,0,0,3,0,1,0,0
AGUDO,2,5,200,14,0,0,1,0,21,0,1,5,1
AJURICABA,0,4,63,0,0,0,4,0,5,0,1,1,2
ALECRIM,1,1,60,0,0,1,2,0,6,0,0,4,1
ALEGRETE,11,26,1515,328,0,5,2,0,41,0,78,94,15
ALEGRIA,1,0,35,3,0,0,0,0,3,0,0,4,0
"ALMIRANTE TAMANDARE DO SUL",0,2,28,2,0,0,0,0,0,0,0,0,0
ALPESTRE,1,3,68,6,0,0,0,0,4,0,0,7,0
"ALTO ALEGRE",0,0,8,0,0,1,0,0,1,0,0,0,0
"ALTO FELIZ",0,0,12,0,0,0,0,0,1,0,0,0,0
ALVORADA,66,112,2862,2548,4,197,10,0,243,1,90,130,63
"AMARAL FERRADOR",1,2,67,0,0,0,0,0,4,1,0,5,0
"AMETISTA DO SUL",4,4,106,2,0,1,0,0,0,0,0,4,1
"ANDRE DA ROCHA",0,3,27,0,0,0,0,0,1,0,0,0,0
"ANTA GORDA",0,2,43,8,0,0,0,0,6,0,3,3,0
"ANTONIO PRADO",0,3,77,15,0,3,0,0,7,1,1,2,2
ARAMBARE,1,0,87,4,0,0,1,0,7,0,11,6,1
ARARICA,0,1,70,3,0,3,0,0,10,0,3,2,0
ARATIBA,0,5,26,0,0,0,0,0,0,0,0,3,0
"ARROIO DO MEIO",0,11,234,23,0,2,1,0,26,0,14,9,2
"ARROIO DO PADRE",0,0,5,0,0,0,0,0,0,0,0,1,0
"ARROIO DO SAL",1,8,447,20,1,1,2,0,16,1,11,5,6
"ARROIO DO TIGRE",2,4,138,6,0,0,0,0,19,0,1,11,0
"ARROIO DOS RATOS",0,6,261,29,0,4,1,0,9,1,5,16,1
"ARROIO GRANDE",1,3,246,7,0,0,0,0,25,0,3,6,2
ARVOREZINHA,1,2,92,11,0,2,0,0,7,0,2,6,1
"AUGUSTO PESTANA",0,1,61,2,0,0,1,0,8,0,1,2,1
AUREA,0,0,14,1,0,0,0,0,1,0,0,2,0
BAGE,10,76,2400,196,0,3,5,0,190,0,77,48,24
"BALNEARIO PINHAL",3,20,757,83,0,4,1,1,26,0,20,9,5
BARAO,0,0,36,2,0,0,0,0,5,0,1,2,0
"BARAO DE COTEGIPE",1,0,59,3,0,0,0,0,3,0,0,6,0
"BARAO DO TRIUNFO",0,3,66,9,0,0,0,0,6,0,2,3,0
"BARRA DO GUARITA",0,0,12,3,0,0,0,0,0,0,0,1,0
"BARRA DO QUARAI",0,0,79,7,0,0,0,0,1,0,0,3,0
"BARRA DO RIBEIRO",0,4,306,46,0,9,2,0,8,0,1,10,6
"BARRA DO RIO AZUL",0,0,5,0,0,0,0,0,0,0,0,0,0
"BARRA FUNDA",0,3,28,0,0,0,0,0,0,0,0,1,0
BARRACAO,0,1,55,3,0,0,0,0,15,0,0,12,0
"BARROS CASSAL",1,3,81,13,0,1,1,0,7,1,0,5,1
"BENJAMIN CONSTANT DO SUL",0,0,6,0,0,0,0,0,0,0,0,0,0
"BENTO GONCALVES",9,122,1617,340,0,83,14,0,164,3,65,67,24
"BOA VISTA DAS MISSOES",0,0,10,3,0,1,0,0,0,0,0,3,0
"BOA VISTA DO BURICA",0,2,48,0,0,0,0,0,6,0,1,2,0
"BOA VISTA DO CADEADO",0,1,35,0,0,0,0,0,0,0,0,1,0
