municipio,homicidio,furtos_veiculo,furtos,roubos,latrocionio,roubo_veiculo,extorsao,extorsao_sequesto,estelionato,delitos_corrupcao,posse_entorpecente,delitos_municoes,trafico_entorpecente
ACEGUA,0,0,5,0,0,0,0,0,0,0,0,0,0
"AGUA SANTA",0,2,12,0,0,0,0,0,1,0,0,0,0
AGUDO,1,7,163,4,0,1,0,0,14,0,0,0,0
AJURICABA,0,2,78,0,0,0,0,0,10,0,0,0,1
ALECRIM,0,0,45,1,0,0,0,0,0,0,0,0,0
ALEGRETE,20,45,1838,224,0,6,1,0,77,0,113,0,6
ALEGRIA,1,0,21,2,0,0,0,0,1,0,0,0,0
"ALMIRANTE TAMANDARE DO SUL",0,0,17,0,0,0,0,0,0,0,0,0,0
ALPESTRE,1,1,87,11,0,0,0,0,0,0,0,0,0
"ALTO ALEGRE",0,2,4,1,0,0,0,0,0,0,0,0,0
"ALTO FELIZ",0,0,7,4,0,0,0,0,2,0,0,0,0
ALVORADA,76,198,3519,2148,4,100,5,1,135,1,218,0,40
"AMARAL FERRADOR",0,1,42,3,0,0,0,0,1,0,0,0,0
"AMETISTA DO SUL",1,7,74,3,0,1,0,0,3,0,3,0,1
"ANDRE DA ROCHA",0,0,8,0,0,0,0,0,0,0,0,0,0
"ANTA GORDA",1,2,41,5,0,1,0,0,1,1,0,0,0
"ANTONIO PRADO",0,12,212,5,0,3,1,0,12,0,4,0,1
ARAMBARE,0,0,37,0,0,0,0,0,0,0,1,0,0
ARARICA,0,0,24,13,0,2,0,0,1,0,1,0,0
ARATIBA,0,2,64,1,0,0,0,0,3,0,0,0,0
"ARROIO DO MEIO",1,11,245,12,0,1,1,0,42,0,5,0,1
"ARROIO DO PADRE",0,0,0,0,0,0,0,0,0,0,0,0,0
"ARROIO DO SAL",1,7,344,9,0,1,0,0,16,1,10,0,2
"ARROIO DO TIGRE",0,16,170,7,0,0,0,0,5,0,1,0,1
"ARROIO DOS RATOS",3,4,221,19,0,5,0,0,21,0,1,0,1
"ARROIO GRANDE",2,4,216,4,0,0,0,0,15,0,3,0,0
ARVOREZINHA,0,5,132,7,0,0,0,0,8,2,1,0,0
"AUGUSTO PESTANA",0,3,58,3,0,1,0,0,6,0,1,0,0
AUREA,0,1,19,1,0,0,0,0,1,0,0,0,0
BAGE,16,164,3061,241,0,3,3,0,121,1,26,0,7
"BALNEARIO PINHAL",2,18,402,29,0,1,0,0,21,0,4,0,2
BARAO,0,1,34,3,0,0,0,0,6,0,1,0,0
"BARAO DE COTEGIPE",0,1,69,1,0,0,0,0,0,0,0,0,0
"BARAO DO TRIUNFO",2,9,114,10,0,3,0,0,7,0,0,0,0
"BARRA DO GUARITA",0,0,24,0,0,0,0,0,1,0,0,0,0
"BARRA DO QUARAI",0,0,71,3,0,0,0,0,1,0,0,0,0
