municipio,homicidio,furtos_veiculo,furtos,roubos,latrocionio,roubo_veiculo,extorsao,extorsao_sequesto,estelionato,delitos_corrupcao,posse_entorpecente,delitos_municoes,trafico_entorpecente
ACEGUA,1,1,61,1,0,0,0,0,1,0,0,0,0
"AGUA SANTA",0,2,33,1,0,0,0,0,1,0,0,1,0
AGUDO,3,6,208,19,1,0,1,0,24,0,5,13,1
AJURICABA,0,1,80,2,0,0,0,0,2,0,0,3,0
ALECRIM,1,0,60,1,0,0,0,0,0,0,0,7,0
ALEGRETE,6,22,1833,323,3,4,7,0,97,0,46,76,12
ALEGRIA,1,1,63,0,0,0,0,0,4,0,0,11,0
"ALMIRANTE TAMANDARE DO SUL",0,0,11,9,0,0,0,0,0,0,0,2,0
ALPESTRE,0,1,56,3,0,0,0,0,1,0,0,26,0
"ALTO ALEGRE",0,0,16,1,0,0,0,0,0,0,0,4,0
"ALTO FELIZ",0,0,16,5,0,0,0,0,0,0,0,0,0
ALVORADA,72,231,3842,3127,4,162,6,0,161,3,127,110,26
"AMARAL FERRADOR",0,1,48,3,0,0,0,0,0,0,0,1,0
"AMETISTA DO SUL",2,15,86,9,0,1,0,0,2,0,0,17,0
"ANDRE DA ROCHA",0,0,4,1,0,0,0,0,0,0,0,1,0
"ANTA GORDA",0,0,63,2,0,0,0,0,1,0,0,2,0
"ANTONIO PRADO",0,3,178,33,0,2,0,0,5,0,7,0,1
ARAMBARE,0,2,60,1,0,0,0,0,3,0,2,2,0
ARARICA,0,0,35,3,0,7,0,0,2,0,3,0,1
ARATIBA,0,0,27,0,0,0,0,0,3,0,0,3,0
"ARROIO DO MEIO",2,18,226,12,0,4,0,0,11,0,10,5,1
"ARROIO DO PADRE",0,0,7,0,0,0,0,0,0,0,0,1,0
"ARROIO DO SAL",1,9,498,14,0,0,1,0,14,0,25,2,3
"ARROIO DO TIGRE",1,4,175,7,0,0,0,0,15,0,1,11,1
"ARROIO DOS RATOS",0,6,249,28,0,4,0,0,19,0,7,16,4
"ARROIO GRANDE",4,5,254,7,0,0,0,0,21,0,1,5,3
ARVOREZINHA,3,2,110,19,0,1,0,0,11,0,3,16,4
"AUGUSTO PESTANA",0,3,83,3,0,0,0,0,10,0,2,3,0
AUREA,0,0,19,0,0,0,0,0,1,0,0,2,0
BAGE,6,35,2717,230,0,6,3,0,190,4,61,78,28
"BALNEARIO PINHAL",0,7,681,66,1,4,0,0,24,0,24,18,2
BARAO,0,0,27,1,0,0,0,0,7,0,0,2,0
"BARAO DE COTEGIPE",0,0,65,3,0,0,0,0,1,0,0,4,1
"BARAO DO TRIUNFO",0,2,101,10,0,0,0,0,6,0,0,8,0
"BARRA DO GUARITA",0,0,42,1,0,0,0,0,2,0,0,14,1
"BARRA DO QUARAI",0,0,151,6,0,0,0,0,3,0,1,8,0
"BARRA DO RIBEIRO",2,8,307,28,0,6,0,0,11,1,1,10,0
"BARRA DO RIO AZUL",0,0,12,0,0,0,0,0,0,0,0,4,0
"BARRA FUNDA",0,0,11,0,0,0,0,0,1,0,1,1,0
BARRACAO,2,0,48,1,0,0,0,0,4,0,1,6,0
"BARROS CASSAL",4,3,136,7,0,0,0,0,5,0,0,19,0
"BENJAMIN CONSTANT DO SUL",0,0,18,1,0,0,0,0,0,0,0,6,0
"BENTO GONCALVES",4,319,1957,342,0,46,5,0,213,2,46,45,21
