municipio,homicidio,furtos_veiculo,furtos,roubos,latrocionio,roubo_veiculo,extorsao,extorsao_sequesto,estelionato,delitos_corrupcao,posse_entorpecente,delitos_municoes,trafico_entorpecente
ACEGUA,0,0,42,1,0,0,0,0,11,0,0,2,0
"AGUA SANTA",0,4,33,0,0,0,0,0,0,0,0,1,1
AGUDO,0,2,180,14,1,0,0,0,24,0,0,6,0
AJURICABA,0,5,59,2,0,0,0,0,9,0,0,8,0
ALECRIM,0,1,86,0,0,0,0,0,2,0,0,9,0
ALEGRETE,10,30,1703,250,2,11,12,0,94,0,71,91,9
ALEGRIA,0,1,58,3,0,0,0,0,1,0,0,4,0
"ALMIRANTE TAMANDARE DO SUL",0,2,28,1,0,0,0,0,1,0,0,0,0
ALPESTRE,4,1,51,1,0,0,0,0,2,0,1,19,0
"ALTO ALEGRE",1,0,13,0,0,0,0,0,1,0,0,0,0
"ALTO FELIZ",0,0,15,0,0,1,0,0,2,0,1,0,0
ALVORADA,57,174,2960,2348,5,145,5,0,210,3,84,132,52
"AMARAL FERRADOR",1,7,110,6,0,0,0,0,0,0,0,6,0
"AMETISTA DO SUL",2,8,141,3,0,1,0,0,4,0,0,7,2
"ANDRE DA ROCHA",1,1,24,1,0,0,0,0,0,0,0,4,1
"ANTA GORDA",0,2,45,1,0,0,1,0,3,1,0,0,1
"ANTONIO PRADO",0,8,138,7,0,6,1,0,12,0,1,2,2
ARAMBARE,0,0,116,2,0,0,0,0,4,0,5,3,0
ARARICA,0,0,46,3,0,1,0,0,3,0,1,1,0
ARATIBA,0,3,44,0,0,0,0,0,3,0,0,0,0
"ARROIO DO MEIO",1,13,296,18,0,2,0,0,17,0,8,11,0
"ARROIO DO PADRE",0,4,8,0,0,0,0,0,0,0,0,0,0
"ARROIO DO SAL",2,27,539,16,0,0,2,0,10,0,10,6,8
"ARROIO DO TIGRE",2,0,125,4,0,0,0,0,43,0,0,5,0
"ARROIO DOS RATOS",0,5,286,21,0,2,0,0,13,0,4,17,4
"ARROIO GRANDE",0,0,279,16,0,1,0,0,27,0,3,10,5
ARVOREZINHA,1,2,70,8,0,0,0,0,7,1,1,13,0
"AUGUSTO PESTANA",0,4,52,8,1,0,0,0,7,0,0,4,0
AUREA,0,3,30,2,0,0,0,0,1,0,0,2,0
BAGE,14,68,2237,168,0,8,3,0,258,4,85,94,24
"BALNEARIO PINHAL",1,27,832,78,0,3,0,0,16,1,9,8,4
BARAO,0,1,42,2,0,0,0,0,8,1,2,2,1
"BARAO DE COTEGIPE",0,7,85,7,0,0,0,0,2,0,0,7,0
"BARAO DO TRIUNFO",3,2,72,9,0,0,0,0,4,0,0,8,1
"BARRA DO GUARITA",0,0,21,0,0,0,0,0,2,0,0,2,0
"BARRA DO QUARAI",2,0,95,3,0,0,0,0,3,0,3,4,1
"BARRA DO RIBEIRO",0,4,368,49,2,4,0,0,10,1,0,13,4
"BARRA DO RIO AZUL",0,1,9,0,0,0,0,0,1,0,0,0,0
"BARRA FUNDA",0,1,22,1,0,0,0,0,1,0,0,2,0
BARRACAO,0,4,71,5,0,0,0,0,3,0,0,6,1
"BARROS CASSAL",1,4,138,15,0,3,0,0,6,0,0,10,0
"BENJAMIN CONSTANT DO SUL",0,1,7,0,0,0,0,0,0,0,0,0,0
"BENTO GONCALVES",7,189,1368,300,1,76,15,0,187,2,51,53,19
"BOA VISTA DAS MISSOES",0,0,11,4,0,0,0,0,1,0,1,6,0
"BOA VISTA DO BURICA",0,5,32,1,0,0,0,0,3,0,1,2,0
"BOA VISTA DO CADEADO",0,0,34,1,0,0,0,0,2,0,0,0,0
"BOA VISTA DO INCRA",0,0,41,2,0,0,0,0,0,0,1,0,0
"BOA VISTA DO SUL",0,0,15,1,0,0,0,0,3,0,0,0,0
"BOM JESUS",2,8,173,12,0,0,0,0,8,1,5,6,6
"BOM PRINCIPIO",0,16,96,17,0,6,0,0,5,0,5,2,1
"BOM PROGRESSO",0,2,19,4,0,0,0,0,3,0,0,4,0
"BOM RETIRO DO SUL",0,4,139,9,0,0,1,0,6,0,3,7,2
"BOQUEIRAO DO LEAO",0,5,79,5,0,1,1,0,3,0,0,5,0
BOSSOROCA,4,0,102,5,0,0,0,0,6,0,1,3,0
BOZANO,0,0,13,1,0,0,0,0,0,0,0,0,0
BRAGA,0,3,52,4,0,0,0,0,1,0,1,4,0
BROCHIER,0,4,56,3,0,0,0,0,5,0,0,0,0
BUTIA,3,0,499,24,0,0,7,0,24,0,10,6,2
"CACAPAVA DO SUL",2,20,546,52,0,7,4,0,17,0,8,1,2
CACEQUI,1,2,419,9,0,0,2,0,29,0,4,17,3
"CACHOEIRA DO SUL",3,49,1950,130,1,6,5,0,152,3,21,35,14
CACHOEIRINHA,12,259,2152,1099,3,389,4,1,230,1,37,77,15
"CACIQUE DOBLE",1,1,17,1,0,0,1,1,2,1,0,1,0
CAIBATE,0,1,32,2,0,2,0,0,3,0,1,2,0
CAICARA,1,0,51,3,0,0,0,0,0,0,0,2,0
