municipio,homicidio,furtos_veiculo,furtos,roubos,latrocionio,roubo_veiculo,extorsao,extorsao_sequesto,estelionato,delitos_corrupcao,posse_entorpecente,delitos_municoes,trafico_entorpecente
ACEGUA,0,1,64,3,0,0,0,0,1,0,1,4,0
"AGUA SANTA",0,2,36,1,0,0,0,0,2,0,0,2,0
AGUDO,3,5,236,13,0,0,1,0,28,0,1,14,0
AJURICABA,0,7,69,2,0,0,0,0,6,0,0,2,0
ALECRIM,0,1,84,6,0,0,0,0,5,1,0,15,0
ALEGRETE,15,19,1719,282,0,5,3,0,117,1,67,86,6
ALEGRIA,1,0,60,2,0,0,0,0,0,0,0,8,0
"ALMIRANTE TAMANDARE DO SUL",0,0,28,0,0,0,0,0,0,0,0,0,0
ALPESTRE,2,0,81,7,0,1,0,0,5,0,0,17,0
"ALTO ALEGRE",0,0,23,0,0,0,1,0,0,0,0,2,0
"ALTO FELIZ",0,1,11,2,0,1,0,0,2,0,0,0,0
ALVORADA,54,153,3188,2444,3,165,4,0,192,3,119,157,84
"AMARAL FERRADOR",0,7,73,3,0,0,0,0,1,0,0,8,0
"AMETISTA DO SUL",1,5,81,3,0,0,0,0,3,0,0,7,0
"ANDRE DA ROCHA",0,0,15,0,0,0,0,0,0,0,1,0,0
"ANTA GORDA",0,2,61,3,1,0,0,0,6,0,0,0,1
"ANTONIO PRADO",0,2,155,7,0,2,0,0,7,0,2,4,4
ARAMBARE,0,1,71,6,0,0,0,0,3,0,1,1,0
ARARICA,0,2,43,6,0,9,0,0,5,0,0,2,0
ARATIBA,0,2,26,0,0,0,1,0,2,0,0,3,1
"ARROIO DO MEIO",1,8,239,31,0,2,0,0,18,1,5,4,2
"ARROIO DO PADRE",0,0,8,1,0,0,0,0,0,0,0,0,0
"ARROIO DO SAL",0,13,528,23,0,3,0,0,16,0,12,7,4
"ARROIO DO TIGRE",2,1,207,7,0,1,0,0,14,0,1,14,0
"ARROIO DOS RATOS",2,8,305,16,0,1,1,0,12,1,3,19,5
"ARROIO GRANDE",0,2,253,12,0,1,0,0,19,0,4,12,1
ARVOREZINHA,4,6,113,22,0,0,0,0,1,0,2,14,0
"AUGUSTO PESTANA",0,1,92,2,0,0,0,0,4,0,0,4,0
AUREA,0,0,13,0,0,0,0,0,2,0,0,0,0
BAGE,12,41,2403,165,1,2,5,0,178,0,63,59,15
"BALNEARIO PINHAL",1,17,690,71,0,1,1,0,18,0,12,12,3
BARAO,0,0,49,2,0,0,0,0,9,0,3,6,1
"BARAO DE COTEGIPE",0,4,102,2,0,1,0,0,3,0,0,4,0
"BARAO DO TRIUNFO",2,5,101,4,0,2,0,0,1,0,0,11,0
"BARRA DO GUARITA",2,0,16,1,0,0,0,0,0,0,0,7,0
"BARRA DO QUARAI",2,0,107,6,0,0,0,0,6,0,2,7,0
"BARRA DO RIBEIRO",2,7,337,25,0,1,0,0,9,1,1,9,1
"BARRA DO RIO AZUL",0,2,10,0,0,0,0,0,0,0,0,0,0
"BARRA FUNDA",0,1,23,1,0,0,0,0,1,0,1,1,0
BARRACAO,0,1,61,2,0,0,0,0,2,0,0,4,0
"BARROS CASSAL",5,3,131,8,0,2,0,0,8,0,0,6,2
"BENJAMIN CONSTANT DO SUL",0,0,13,0,0,0,0,0,0,0,0,0,0
"BENTO GONCALVES",7,420,1624,397,2,79,7,0,178,0,53,71,20
"BOA VISTA DAS MISSOES",0,0,25,2,0,0,0,0,2,0,0,4,0
"BOA VISTA DO BURICA",1,2,48,1,0,0,0,0,9,1,0,4,0
"BOA VISTA DO CADEADO",0,0,25,2,0,0,0,0,1,0,0,2,0
"BOA VISTA DO INCRA",0,1,34,0,0,0,0,0,2,0,0,0,0
"BOA VISTA DO SUL",0,0,17,1,0,2,0,0,0,0,0,0,0
"BOM JESUS",4,7,184,9,0,0,0,0,9,1,8,14,1
"BOM PRINCIPIO",0,31,84,23,1,4,0,0,10,2,3,1,0
"BOM PROGRESSO",0,0,20,0,0,0,0,0,0,1,0,2,0
"BOM RETIRO DO SUL",1,4,133,22,0,2,0,0,4,0,0,2,1
"BOQUEIRAO DO LEAO",0,8,90,5,0,0,0,0,4,0,0,10,0
BOSSOROCA,0,1,94,6,0,0,0,0,7,0,0,10,0
BOZANO,0,1,19,1,0,0,0,0,0,0,0,0,0
BRAGA,2,3,48,1,0,0,0,0,0,0,0,3,0
BROCHIER,0,4,33,2,0,1,0,0,4,0,0,0,0
BUTIA,1,3,362,14,0,0,1,0,16,0,11,8,7
"CACAPAVA DO SUL",0,5,518,24,1,2,0,0,26,1,7,0,3
CACEQUI,2,2,436,15,0,3,0,0,23,0,5,20,1
"CACHOEIRA DO SUL",4,80,2083,129,0,1,5,0,146,0,21,40,6
CACHOEIRINHA,19,282,2321,949,1,325,3,0,195,1,45,59,14
"CACIQUE DOBLE",0,0,21,0,0,2,0,0,1,0,0,2,0
CAIBATE,0,0,51,2,0,0,0,0,3,0,0,4,0
CAICARA,0,4,59,2,0,0,0,0,0,0,2,4,0
CAMAQUA,3,119,1813,118,1,5,1,1,168,2,24,51,21
CAMARGO,1,2,26,4,0,0,0,0,2,0,0,0,0
"CAMBARA DO SUL",2,1,96,6,0,3,1,0,5,0,1,6,0
"CAMPESTRE DA SERRA",0,0,12,1,0,0,0,0,0,0,0,1,0
"CAMPINA DAS MISSOES",0,1,31,3,0,0,0,0,5,0,0,1,0
"CAMPINAS DO SUL",2,1,30,1,0,0,0,0,3,1,0,3,0
"CAMPO BOM",1,120,1599,401,0,63,5,1,87,1,55,30,12
"CAMPO NOVO",1,2,166,6,1,0,0,0,11,0,5,8,2
"CAMPOS BORGES",0,2,53,1,0,0,0,0,0,0,0,2,1
CANDELARIA,5,16,566,33,0,11,1,0,50,0,20,32,10
"CANDIDO GODOI",0,0,29,0,0,0,1,0,2,0,0,2,0
CANDIOTA,1,1,153,4,0,0,0,0,0,0,0,8,0
CANELA,3,45,928,65,0,3,1,0,60,2,76,28,12
CANGUCU,1,20,450,32,0,0,2,0,27,0,0,14,2
CANOAS,64,877,7195,3964,10,1137,8,2,433,3,122,180,47
"CANUDOS DO VALE",0,0,13,1,0,0,0,0,0,0,0,0,0
"CAPAO BONITO DO SUL",0,0,33,1,0,0,0,0,1,0,0,5,0
"CAPAO DA CANOA",6,86,2029,216,0,14,3,0,123,6,56,19,29
"CAPAO DO CIPO",0,1,29,0,0,0,0,0,0,0,0,3,0
"CAPAO DO LEAO",0,3,453,59,1,7,0,0,17,0,4,14,1
"CAPELA DE SANTANA",0,2,201,14,0,9,0,0,7,1,6,4,0
CAPITAO,0,1,24,0,0,0,0,0,1,0,0,2,0
"CAPIVARI DO SUL",0,1,69,1,0,1,0,0,4,0,5,8,1
CARAA,0,0,33,1,1,0,0,0,0,0,0,0,0
CARAZINHO,7,97,1638,122,0,5,7,0,133,2,33,48,8
"CARLOS BARBOSA",0,45,297,24,0,13,2,0,37,0,1,2,1
"CARLOS GOMES",0,0,6,0,0,0,0,0,0,0,0,0,0
CASCA,1,18,106,3,0,0,0,0,11,0,3,5,0
CASEIROS,0,9,28,1,0,0,0,0,3,0,0,3,1
CATUIPE,0,3,143,5,0,2,0,0,8,0,3,6,0
"CAXIAS DO SUL",74,1413,8065,2049,12,510,31,2,697,1,125,378,79
CENTENARIO,0,1,13,0,0,0,0,0,0,0,0,2,0
CERRITO,1,0,85,3,0,0,0,0,2,0,1,1,1
"CERRO BRANCO",0,1,32,2,0,0,0,0,2,0,0,2,1
"CERRO GRANDE",0,0,17,1,0,0,0,0,4,0,0,0,0
"CERRO GRANDE DO SUL",3,17,139,20,0,2,0,0,9,0,0,13,1
"CERRO LARGO",0,4,192,9,0,0,0,0,21,0,15,11,4
CHAPADA,0,1,120,1,0,0,0,0,6,0,3,6,0
CHARQUEADAS,3,11,552,37,0,0,5,0,15,2,67,24,57
CHARRUA,0,1,13,1,0,0,0,0,1,0,0,0,0
CHIAPETTA,0,2,51,5,0,0,0,0,9,0,2,2,0
CHUI,0,3,145,5,0,0,0,0,8,0,1,4,3
CHUVISCA,0,3,42,5,0,0,0,0,10,0,0,1,0
CIDREIRA,1,33,1144,92,0,3,0,0,33,1,38,14,14
CIRIACO,1,11,143,2,0,1,0,0,2,0,0,5,0
COLINAS,0,0,35,0,0,0,0,0,0,0,0,0,0
COLORADO,0,0,22,0,0,0,0,0,0,0,0,0,0
CONDOR,1,3,138,8,0,0,1,0,6,0,1,8,1
CONSTANTINA,0,4,155,6,1,0,0,0,13,0,1,5,0
"COQUEIRO BAIXO",0,0,13,0,0,0,0,0,1,0,0,1,0
"COQUEIROS DO SUL",1,1,24,0,0,1,0,0,0,0,0,1,0
"CORONEL BARROS",0,0,12,0,0,0,0,0,1,0,0,1,0
"CORONEL BICACO",3,10,177,7,0,0,1,0,12,0,0,17,0
"CORONEL PILAR",0,0,7,0,0,0,0,0,0,0,0,0,0
COTIPORA,1,1,42,1,0,0,1,0,1,0,0,0,1
COXILHA,0,0,57,2,0,1,0,0,1,0,0,3,0
CRISSIUMAL,2,5,172,7,0,0,1,0,8,0,4,10,1
CRISTAL,3,2,63,18,0,3,0,0,7,0,3,8,0
"CRISTAL DO SUL",0,0,22,0,0,1,0,0,0,0,0,2,0
"CRUZ ALTA",8,70,2024,236,2,16,3,0,229,6,23,100,35
CRUZALTENSE,0,0,4,0,0,0,0,0,0,0,0,1,0
"CRUZEIRO DO SUL",0,5,117,43,0,3,0,0,23,0,0,8,0
"DAVID CANABARRO",0,5,53,1,0,0,0,0,5,0,0,4,0
DERRUBADAS,0,1,32,2,0,0,0,0,1,0,0,4,0
"DEZESSEIS DE NOVEMBRO",0,0,19,1,1,0,0,0,0,0,0,3,0
"DILERMANDO DE AGUIAR",0,0,54,1,0,0,0,0,0,0,0,1,0
"DOIS IRMAOS",3,43,314,52,0,16,0,0,29,1,7,7,3
"DOIS IRMAOS DAS MISSOES",0,1,26,1,0,0,0,0,0,0,2,1,0
"DOIS LAJEADOS",0,1,29,2,0,0,0,0,2,0,0,2,0
"DOM FELICIANO",3,9,151,13,0,0,0,0,21,1,0,15,0
"DOM PEDRITO",6,10,727,49,0,1,6,0,52,1,11,45,7
"DOM PEDRO DE ALCANTARA",0,0,30,6,0,0,1,0,0,0,0,0,0
"DONA FRANCISCA",0,1,107,1,0,0,0,0,7,0,0,2,0
"DOUTOR RICARDO",0,0,25,0,0,0,0,0,1,1,0,2,0
"DR MAURICIO CARDOSO",0,1,53,3,0,0,0,0,2,0,0,2,0
"ELDORADO DO SUL",2,10,710,128,0,9,0,1,23,0,10,33,3
ENCANTADO,1,12,360,22,0,0,3,0,27,0,15,12,10
"ENCRUZILHADA DO SUL",2,10,402,24,0,0,3,0,31,0,5,19,0
"ENGENHO VELHO",0,0,17,2,0,0,0,0,7,0,0,1,0
"ENTRE IJUIS",1,0,112,7,0,5,0,0,5,0,3,11,0
"ENTRE RIOS DO SUL",3,1,49,1,0,0,0,0,0,0,0,2,0
EREBANGO,0,2,19,1,0,0,0,0,1,0,0,1,0
ERECHIM,7,94,1945,277,0,8,12,0,109,2,53,116,44
ERNESTINA,0,3,35,2,0,0,0,0,1,0,0,1,0
